threshold,count_above,percentage
0.3,82,56.55172413793104
0.35,55,37.93103448275862
0.39999999999999997,36,24.82758620689655
0.44999999999999996,30,20.689655172413794
0.49999999999999994,27,18.620689655172416
0.5499999999999999,26,17.93103448275862
0.5999999999999999,22,15.172413793103448
0.6499999999999999,18,12.413793103448276
0.7,16,11.03448275862069
0.7499999999999999,9,6.206896551724138
0.7999999999999998,9,6.206896551724138
0.8499999999999999,9,6.206896551724138
0.8999999999999999,9,6.206896551724138
