Position,TO_Target,TO_Gold,WS_Target,WS_Gold,TO_Target_Gold_Diff,WS_Target_Gold_Diff,Target_Diff_WS_TO,Gold_Diff_WS_TO
1,0.334324876527164,0.30533893466770645,0.398298,0.31756290259740255,0.028985941859457576,0.08073509740259743,0.06397312347283596,0.0122239679296961
2,0.3160461658435144,0.2601162355948358,0.38126464935064935,0.2674723043290043,0.055929930248678594,0.11379234502164504,0.06521848350713494,0.007356068734168497
3,0.3123374057707305,0.24831209080668917,0.37662158441558446,0.24962566796536795,0.06402531496404132,0.12699591645021652,0.06428417864485397,0.0013135771586787748
4,0.3077710423706784,0.23811585521185338,0.3736845454545455,0.24469675454545453,0.06965518715882504,0.12898779090909096,0.06591350308386706,0.006580899333601148
5,0.3064388614504809,0.23495796811368164,0.3750545974025974,0.23837767445887445,0.07148089333679924,0.13667692294372294,0.06861573595211651,0.0034197063451928134
6,0.3046148947231609,0.22828075730006064,0.37292644155844157,0.23394947705627708,0.07633413742310025,0.13897696450216449,0.06831154683528068,0.005668719756216439
7,0.30496308812061346,0.2271201139415995,0.371466,0.23021617099567102,0.07784297417901395,0.141249829004329,0.06650291187938656,0.0030960570540715104
8,0.30097676111255517,0.2233536201369032,0.3703052727272727,0.2269987238095238,0.07762314097565196,0.1433065489177489,0.06932851161471754,0.003645103672620581
9,0.301776943072524,0.22211519149120526,0.3707402597402597,0.22718453203463201,0.07966175158131875,0.1435557277056277,0.0689633166677357,0.0050693405434267536
10,0.30184043161726465,0.22413277127751777,0.37024366233766237,0.22466781948051948,0.07770766033974688,0.1455758428571429,0.06840323072039772,0.000535048203001709
11,0.3009759490379615,0.2203536787138152,0.3707779220779221,0.2239997575757576,0.08062227032414629,0.1467781645021645,0.06980197303996061,0.0036460788619424034
12,0.29713673946957875,0.21709419093430404,0.3656374545454546,0.22339194025974027,0.0800425485352747,0.14224551428571433,0.06850071507587585,0.006297749325436225
13,0.2967976079043162,0.2180565704628185,0.3680181818181818,0.22144752900432899,0.07874103744149769,0.14657065281385281,0.0712205739138656,0.003390958541510475
14,0.29813959958398334,0.2182865440284278,0.3673809350649351,0.21894314805194803,0.07985305555555555,0.14843778701298704,0.06924133548095174,0.0006566040235202464
15,0.29851926677067087,0.21436668790084937,0.3689511428571428,0.2169045012987013,0.0841525788698215,0.1520466415584415,0.07043187608647195,0.0025378133978519457
16,0.2997404576183047,0.21723100710695095,0.3705997662337662,0.21603809177489178,0.08250945051135375,0.15456167445887445,0.07085930861546152,-0.0011929153320591745
17,0.30375379615184606,0.21518453761483794,0.3682392207792208,0.21775469004329004,0.08856925853700812,0.15048453073593074,0.06448542462737472,0.0025701524284520993
18,0.3023141779396462,0.2132991657995144,0.3702436623376623,0.21522230432900433,0.0890150121401318,0.155021358008658,0.0679294843980161,0.001923138529489915
19,0.3024009625390219,0.2098591406520985,0.37251127272727275,0.2145730380952381,0.09254182188692336,0.15793823463203466,0.07011031018825087,0.004713897443139575
20,0.30766851418162894,0.21415140471853586,0.37543693506493503,0.21930261601731602,0.09351710946309308,0.156134319047619,0.06776842088330609,0.005151211298780156
