id,model,no_desc,with_desc,delta
1,deepseek-r1,0.5151515151515152,0.4913656690746474,-0.023785846076867845
1,gemini-2.5-flash-lite,0.4403508771929824,0.3618233618233618,-0.0785275153696206
1,gpt-4.1-mini,0.3777777777777777,0.3826086956521739,0.004830917874396212
1,gpt-4.1-nano,0.5759803921568628,0.3694444444444444,-0.2065359477124184
1,gpt-oss-120b,0.5151515151515152,0.5151515151515152,0.0
1,gpt-oss-20b,0.4211640211640211,0.6287581699346405,0.20759414877061944
1,grok-4-fast,0.4274853801169591,0.3719298245614035,-0.05555555555555558
1,llama-3.1-405b-instruct,0.5151515151515152,0.3619047619047619,-0.15324675324675335
1,meta-llama-3-1-70b-instruct,0.5151515151515152,0.5598086124401914,0.04465709728867617
1,meta-llama-3-1-8b-instruct,0.5151515151515152,0.5571095571095571,0.04195804195804187
1,qwen3-14b,0.5434343434343435,0.5656565656565656,0.022222222222222143
1,qwen3-32b,0.5916666666666667,0.4403508771929824,-0.1513157894736843
2,deepseek-r1,0.6414565826330533,0.2496226634157668,-0.3918339192172865
2,gemini-2.5-flash-lite,0.270703933747412,0.2834313725490196,0.012727438801607649
2,gpt-4.1-mini,0.4889579020013803,0.2547008547008547,-0.2342570473005256
2,gpt-4.1-nano,0.2718762718762719,0.2838345864661654,0.011958314589893493
2,gpt-oss-120b,0.6414565826330533,0.273015873015873,-0.3684407096171803
2,gpt-oss-20b,0.2997076023391812,0.2619047619047619,-0.03780284043441928
2,grok-4-fast,0.6414565826330533,0.6414565826330533,0.0
2,llama-3.1-405b-instruct,0.6414565826330533,0.2838345864661654,-0.3576219961668879
2,meta-llama-3-1-70b-instruct,0.5222222222222223,0.6414565826330533,0.11923436041083102
2,meta-llama-3-1-8b-instruct,0.2860305958132045,0.2328042328042328,-0.05322636300897171
2,qwen3-14b,0.2571035431716546,0.277485380116959,0.020381836945304377
2,qwen3-32b,0.3770263016639828,0.2582010582010581,-0.11882524346292472
3,deepseek-r1,0.7476923076923078,0.823529411764706,0.07583710407239819
3,gemini-2.5-flash-lite,0.8666666666666667,0.8188034188034189,-0.047863247863247804
3,gpt-4.1-mini,0.5366357069143447,0.9743589743589745,0.43772326744462975
3,gpt-4.1-nano,0.7777777777777778,0.8666666666666667,0.0888888888888889
3,gpt-oss-120b,0.9743589743589745,0.9743589743589745,0.0
3,gpt-oss-20b,0.9743589743589745,0.7272727272727272,-0.24708624708624727
3,grok-4-fast,0.4824311490978157,0.7272727272727272,0.24484157817491148
3,llama-3.1-405b-instruct,0.7644824311490979,1.0,0.23551756885090214
3,meta-llama-3-1-70b-instruct,0.7644824311490979,1.0,0.23551756885090214
3,meta-llama-3-1-8b-instruct,0.7644824311490979,0.6222222222222221,-0.14226020892687574
3,qwen3-14b,0.9743589743589745,0.7016317016317016,-0.2727272727272728
3,qwen3-32b,0.7016317016317016,1.0,0.29836829836829837
4,deepseek-r1,0.4198830409356724,0.6691666666666668,0.24928362573099438
4,gemini-2.5-flash-lite,0.3391694725028058,0.7733333333333334,0.4341638608305276
4,gpt-4.1-mini,0.6343537414965986,0.8877032520325203,0.2533495105359217
4,gpt-4.1-nano,0.5936379928315412,0.5863143631436314,-0.007323629687909783
4,gpt-oss-120b,0.5095238095238095,0.4924242424242424,-0.017099567099567115
4,gpt-oss-20b,0.4028417818740399,0.4924242424242424,0.08958246055020247
4,grok-4-fast,0.3761261261261261,0.5890083632019115,0.2128822370757854
4,llama-3.1-405b-instruct,0.6868686868686869,0.5475268817204301,-0.13934180514825678
4,meta-llama-3-1-70b-instruct,0.4829244829244829,0.5833333333333334,0.10040885040885045
4,meta-llama-3-1-8b-instruct,0.6832844574780058,0.75,0.06671554252199419
4,qwen3-14b,0.5752032520325203,0.5752032520325203,0.0
4,qwen3-32b,0.4722222222222221,0.741869918699187,0.26964769647696485
5,deepseek-r1,0.3909803921568627,0.687539531941809,0.29655913978494625
5,gemini-2.5-flash-lite,0.6176470588235294,0.6176470588235294,0.0
5,gpt-4.1-mini,0.3909803921568627,0.6176470588235294,0.22666666666666674
5,gpt-4.1-nano,0.3509803921568628,0.4901234567901234,0.13914306463326065
5,gpt-oss-120b,0.6176470588235294,0.6176470588235294,0.0
5,gpt-oss-20b,0.3795518207282913,0.0,-0.3795518207282913
5,grok-4-fast,0.6176470588235294,0.6176470588235294,0.0
5,llama-3.1-405b-instruct,0.373202614379085,0.6176470588235294,0.24444444444444446
5,meta-llama-3-1-70b-instruct,0.6176470588235294,0.6176470588235294,0.0
5,meta-llama-3-1-8b-instruct,0.384313725490196,0.6176470588235294,0.23333333333333345
5,qwen3-14b,0.5267379679144385,0.6176470588235294,0.09090909090909094
5,qwen3-32b,0.6176470588235294,0.6176470588235294,0.0
6,deepseek-r1,0.6056189522856189,0.6113165266106443,0.0056975743250253785
6,gemini-2.5-flash-lite,0.5324203755576304,0.6304761904761905,0.09805581491856008
6,gpt-4.1-mini,0.5324203755576304,0.823529411764706,0.2911090362070755
6,gpt-4.1-nano,0.5994397759103641,0.3857246602344641,-0.2137151156759
6,gpt-oss-120b,0.5476190476190477,0.6511003757380569,0.10348132811900923
6,gpt-oss-20b,0.5814814814814815,0.1785547785547785,-0.40292670292670296
6,grok-4-fast,0.8242016806722688,0.7952069716775599,-0.028994708994708907
6,llama-3.1-405b-instruct,0.5814814814814815,0.5814814814814815,0.0
6,meta-llama-3-1-70b-instruct,0.5493144626271561,0.5814814814814815,0.03216701885432538
6,meta-llama-3-1-8b-instruct,0.5324203755576304,0.6238198983297022,0.09139952277207175
